Unique ID,Indicator ID,Name,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,Start_Date,Data Value,Pollution_Level
603098,375,Nitrogen dioxide (NO2),ppb,CD,414,Rockaway and Broad Channel (CD14),Annual Average 2018,2018-01-01,10,Good
826075,375,Nitrogen dioxide (NO2),ppb,CD,414,Rockaway and Broad Channel (CD14),Winter 2021-22,2021-12-01,15,Good
170430,365,Fine particles (PM 2.5),mcg/m3,CD,307,Sunset Park (CD7),Annual Average 2013,2012-12-01,9,Good
410984,365,Fine particles (PM 2.5),mcg/m3,CD,107,Upper West Side (CD7),Winter 2015-16,2015-12-01,8,Good
742558,365,Fine particles (PM 2.5),mcg/m3,CD,414,Rockaway and Broad Channel (CD14),Winter 2020-21,2020-12-01,6,Good
169393,365,Fine particles (PM 2.5),mcg/m3,CD,414,Rockaway and Broad Channel (CD14),Summer 2010,2010-06-01,10,Good
169452,365,Fine particles (PM 2.5),mcg/m3,CD,414,Rockaway and Broad Channel (CD14),Summer 2011,2011-06-01,10,Good
166856,375,Nitrogen dioxide (NO2),ppb,CD,414,Rockaway and Broad Channel (CD14),Summer 2012,2012-06-01,8,Good
166915,375,Nitrogen dioxide (NO2),ppb,CD,414,Rockaway and Broad Channel (CD14),Summer 2013,2013-06-01,7,Good
213253,375,Nitrogen dioxide (NO2),ppb,CD,307,Sunset Park (CD7),Winter 2013-14,2013-12-01,27,Good
643639,375,Nitrogen dioxide (NO2),ppb,CD,307,Sunset Park (CD7),Annual Average 2019,2019-01-01,18,Good
603046,375,Nitrogen dioxide (NO2),ppb,CD,314,Flatbush and Midwood (CD14),Winter 2017-18,2017-12-01,23,Good
643693,375,Nitrogen dioxide (NO2),ppb,CD,407,Flushing and Whitestone (CD7),Annual Average 2019,2019-01-01,16,Good
825830,375,Nitrogen dioxide (NO2),ppb,CD,107,Upper West Side (CD7),Annual Average 2022,2022-01-01,18,Good
603100,375,Nitrogen dioxide (NO2),ppb,CD,414,Rockaway and Broad Channel (CD14),Winter 2017-18,2017-12-01,14,Good
643714,375,Nitrogen dioxide (NO2),ppb,CD,414,Rockaway and Broad Channel (CD14),Annual Average 2019,2019-01-01,9,Good
826077,375,Nitrogen dioxide (NO2),ppb,CD,414,Rockaway and Broad Channel (CD14),Annual Average 2022,2022-01-01,11,Good
165794,375,Nitrogen dioxide (NO2),ppb,CD,414,Rockaway and Broad Channel (CD14),Winter 2008-09,2008-12-01,20,Good
213278,375,Nitrogen dioxide (NO2),ppb,CD,414,Rockaway and Broad Channel (CD14),Winter 2013-14,2013-12-01,22,Good
411022,365,Fine particles (PM 2.5),mcg/m3,CD,207,Kingsbridge Heights and Bedford (CD7),Annual Average 2016,2015-12-31,7,Good
169545,365,Fine particles (PM 2.5),mcg/m3,CD,307,Sunset Park (CD7),Summer 2013,2013-06-01,10,Good
170455,365,Fine particles (PM 2.5),mcg/m3,CD,414,Rockaway and Broad Channel (CD14),Annual Average 2013,2012-12-01,7,Good
742560,365,Fine particles (PM 2.5),mcg/m3,CD,414,Rockaway and Broad Channel (CD14),Annual Average 2021,2021-01-01,5,Good
547765,365,Fine particles (PM 2.5),mcg/m3,CD,414,Rockaway and Broad Channel (CD14),Annual Average 2017,2017-01-01,6,Good
168567,365,Fine particles (PM 2.5),mcg/m3,CD,414,Rockaway and Broad Channel (CD14),Winter 2010-11,2010-12-01,10,Good
169334,365,Fine particles (PM 2.5),mcg/m3,CD,414,Rockaway and Broad Channel (CD14),Summer 2009,2009-06-01,9,Good
643640,375,Nitrogen dioxide (NO2),ppb,CD,307,Sunset Park (CD7),Summer 2019,2019-06-01,16,Good
336866,375,Nitrogen dioxide (NO2),ppb,CD,407,Flushing and Whitestone (CD7),Summer 2015,2015-06-01,14,Good
667808,375,Nitrogen dioxide (NO2),ppb,CD,407,Flushing and Whitestone (CD7),Winter 2019-20,2019-12-01,22,Good
823206,365,Fine particles (PM 2.5),mcg/m3,CD,107,Upper West Side (CD7),Winter 2021-22,2021-12-01,6,Good
606059,365,Fine particles (PM 2.5),mcg/m3,CD,414,Rockaway and Broad Channel (CD14),Annual Average 2018,2018-01-01,6,Good
742559,365,Fine particles (PM 2.5),mcg/m3,CD,414,Rockaway and Broad Channel (CD14),Summer 2021,2021-06-01,7,Good
823566,365,Fine particles (PM 2.5),mcg/m3,CD,414,Rockaway and Broad Channel (CD14),Winter 2021-22,2021-12-01,5,Good
169570,365,Fine particles (PM 2.5),mcg/m3,CD,414,Rockaway and Broad Channel (CD14),Summer 2013,2013-06-01,9,Good
169511,365,Fine particles (PM 2.5),mcg/m3,CD,414,Rockaway and Broad Channel (CD14),Summer 2012,2012-06-01,9,Good
411112,365,Fine particles (PM 2.5),mcg/m3,CD,407,Flushing and Whitestone (CD7),Annual Average 2016,2015-12-31,7,Good
667850,375,Nitrogen dioxide (NO2),ppb,CD,414,Rockaway and Broad Channel (CD14),Winter 2019-20,2019-12-01,17,Good
643715,375,Nitrogen dioxide (NO2),ppb,CD,414,Rockaway and Broad Channel (CD14),Summer 2019,2019-06-01,7,Good
877256,375,Nitrogen dioxide (NO2),ppb,CD,414,Rockaway and Broad Channel (CD14),Annual Average 2023,2023-01-01,9,Good
877258,375,Nitrogen dioxide (NO2),ppb,CD,414,Rockaway and Broad Channel (CD14),Winter 2022-23,2022-12-01,11,Good
166030,375,Nitrogen dioxide (NO2),ppb,CD,414,Rockaway and Broad Channel (CD14),Winter 2012-13,2012-12-01,18,Good
167623,375,Nitrogen dioxide (NO2),ppb,CD,414,Rockaway and Broad Channel (CD14),Annual Average 2010,2009-12-01,13,Good
176652,375,Nitrogen dioxide (NO2),ppb,UHF42,211,Williamsburg - Bushwick,Annual Average 2012,2011-12-01,23,Good
176676,375,Nitrogen dioxide (NO2),ppb,UHF42,504,South Beach - Tottenville,Annual Average 2012,2011-12-01,12,Good
825979,375,Nitrogen dioxide (NO2),ppb,UHF42,504,South Beach - Tottenville,Summer 2022,2022-06-01,6,Good
741094,375,Nitrogen dioxide (NO2),ppb,UHF34,409,Southeast Queens,Winter 2020-21,2020-12-01,19,Good
213607,375,Nitrogen dioxide (NO2),ppb,CD,307,Sunset Park (CD7),Annual Average 2014,2013-12-01,20,Good
213784,365,Fine particles (PM 2.5),mcg/m3,CD,307,Sunset Park (CD7),Winter 2013-14,2013-12-01,12,Good
823204,365,Fine particles (PM 2.5),mcg/m3,CD,107,Upper West Side (CD7),Annual Average 2022,2022-01-01,6,Good
213809,365,Fine particles (PM 2.5),mcg/m3,CD,414,Rockaway and Broad Channel (CD14),Winter 2013-14,2013-12-01,9,Good
606061,365,Fine particles (PM 2.5),mcg/m3,CD,414,Rockaway and Broad Channel (CD14),Winter 2017-18,2017-12-01,7,Good
650059,365,Fine particles (PM 2.5),mcg/m3,CD,414,Rockaway and Broad Channel (CD14),Annual Average 2019,2019-01-01,5,Good
823568,365,Fine particles (PM 2.5),mcg/m3,CD,414,Rockaway and Broad Channel (CD14),Annual Average 2022,2022-01-01,5,Good
667809,375,Nitrogen dioxide (NO2),ppb,CD,407,Flushing and Whitestone (CD7),Summer 2020,2020-06-01,11,Good
172094,375,Nitrogen dioxide (NO2),ppb,UHF34,409,Southeast Queens,Summer 2009,2009-06-01,16,Good
336693,375,Nitrogen dioxide (NO2),ppb,UHF34,409,Southeast Queens,Winter 2014-15,2014-12-01,22,Good
549977,375,Nitrogen dioxide (NO2),ppb,UHF34,404406,Bayside Little Neck-Fresh Meadows,Annual Average 2017,2017-01-01,17,Good
741111,375,Nitrogen dioxide (NO2),ppb,UHF34,404406,Bayside Little Neck-Fresh Meadows,Annual Average 2021,2021-01-01,14,Good
172099,375,Nitrogen dioxide (NO2),ppb,UHF34,404406,Bayside Little Neck-Fresh Meadows,Summer 2009,2009-06-01,17,Good
172745,375,Nitrogen dioxide (NO2),ppb,UHF34,404406,Bayside Little Neck-Fresh Meadows,Annual Average 2013,2012-12-01,17,Good
171657,375,Nitrogen dioxide (NO2),ppb,UHF34,404406,Bayside Little Neck-Fresh Meadows,Winter 2010-11,2010-12-01,27,Good
336708,375,Nitrogen dioxide (NO2),ppb,UHF34,404406,Bayside Little Neck-Fresh Meadows,Winter 2014-15,2014-12-01,23,Good
412520,375,Nitrogen dioxide (NO2),ppb,UHF42,404,Bayside - Little Neck,Winter 2015-16,2015-12-01,20,Good
412521,375,Nitrogen dioxide (NO2),ppb,UHF42,404,Bayside - Little Neck,Summer 2016,2016-06-01,12,Good
172196,375,Nitrogen dioxide (NO2),ppb,UHF34,409,Southeast Queens,Summer 2012,2012-06-01,14,Good
172230,375,Nitrogen dioxide (NO2),ppb,UHF34,409,Southeast Queens,Summer 2013,2013-06-01,14,Good
602903,375,Nitrogen dioxide (NO2),ppb,UHF34,409,Southeast Queens,Annual Average 2018,2018-01-01,16,Good
825880,375,Nitrogen dioxide (NO2),ppb,UHF34,409,Southeast Queens,Winter 2021-22,2021-12-01,18,Good
602918,375,Nitrogen dioxide (NO2),ppb,UHF34,404406,Bayside Little Neck-Fresh Meadows,Annual Average 2018,2018-01-01,16,Good
825865,375,Nitrogen dioxide (NO2),ppb,UHF34,404406,Bayside Little Neck-Fresh Meadows,Winter 2021-22,2021-12-01,19,Good
172201,375,Nitrogen dioxide (NO2),ppb,UHF34,404406,Bayside Little Neck-Fresh Meadows,Summer 2012,2012-06-01,15,Good
172235,375,Nitrogen dioxide (NO2),ppb,UHF34,404406,Bayside Little Neck-Fresh Meadows,Summer 2013,2013-06-01,15,Good
412645,375,Nitrogen dioxide (NO2),ppb,UHF34,404406,Bayside Little Neck-Fresh Meadows,Annual Average 2016,2015-12-31,17,Good
740987,375,Nitrogen dioxide (NO2),ppb,UHF42,404,Bayside - Little Neck,Summer 2021,2021-06-01,9,Good
412438,375,Nitrogen dioxide (NO2),ppb,UHF42,104,Pelham - Throgs Neck,Annual Average 2016,2015-12-31,17,Good
176046,375,Nitrogen dioxide (NO2),ppb,UHF42,504,South Beach - Tottenville,Summer 2012,2012-06-01,8,Good
550106,375,Nitrogen dioxide (NO2),ppb,CD,315,Sheepshead Bay (CD15),Annual Average 2017,2017-01-01,16,Good
166778,375,Nitrogen dioxide (NO2),ppb,CD,313,Coney Island (CD13),Summer 2011,2011-06-01,12,Good
826338,375,Nitrogen dioxide (NO2),ppb,CD,315,Sheepshead Bay (CD15),Winter 2021-22,2021-12-01,19,Good
550154,375,Nitrogen dioxide (NO2),ppb,CD,413,Queens Village (CD13),Annual Average 2017,2017-01-01,16,Good
741288,375,Nitrogen dioxide (NO2),ppb,CD,413,Queens Village (CD13),Annual Average 2021,2021-01-01,14,Good
603095,375,Nitrogen dioxide (NO2),ppb,CD,413,Queens Village (CD13),Annual Average 2018,2018-01-01,16,Good
741287,375,Nitrogen dioxide (NO2),ppb,CD,413,Queens Village (CD13),Summer 2021,2021-06-01,10,Good
547714,365,Fine particles (PM 2.5),mcg/m3,CD,315,Sheepshead Bay (CD15),Annual Average 2017,2017-01-01,6,Good
411129,365,Fine particles (PM 2.5),mcg/m3,CD,413,Queens Village (CD13),Summer 2016,2016-06-01,7,Good
742555,365,Fine particles (PM 2.5),mcg/m3,CD,413,Queens Village (CD13),Winter 2020-21,2020-12-01,6,Good
826072,375,Nitrogen dioxide (NO2),ppb,CD,413,Queens Village (CD13),Winter 2021-22,2021-12-01,18,Good
603049,375,Nitrogen dioxide (NO2),ppb,CD,315,Sheepshead Bay (CD15),Winter 2017-18,2017-12-01,19,Good
826074,375,Nitrogen dioxide (NO2),ppb,CD,413,Queens Village (CD13),Annual Average 2022,2022-01-01,14,Good
643711,375,Nitrogen dioxide (NO2),ppb,CD,413,Queens Village (CD13),Annual Average 2019,2019-01-01,14,Good
603097,375,Nitrogen dioxide (NO2),ppb,CD,413,Queens Village (CD13),Winter 2017-18,2017-12-01,21,Good
334347,365,Fine particles (PM 2.5),mcg/m3,CD,413,Queens Village (CD13),Winter 2014-15,2014-12-01,8,Good
547762,365,Fine particles (PM 2.5),mcg/m3,CD,413,Queens Village (CD13),Annual Average 2017,2017-01-01,6,Good
742557,365,Fine particles (PM 2.5),mcg/m3,CD,413,Queens Village (CD13),Annual Average 2021,2021-01-01,6,Good
877201,375,Nitrogen dioxide (NO2),ppb,CD,313,Coney Island (CD13),Winter 2022-23,2022-12-01,18,Good
877199,375,Nitrogen dioxide (NO2),ppb,CD,313,Coney Island (CD13),Annual Average 2023,2023-01-01,13,Good
411130,365,Fine particles (PM 2.5),mcg/m3,CD,413,Queens Village (CD13),Annual Average 2016,2015-12-31,6,Good
606056,365,Fine particles (PM 2.5),mcg/m3,CD,413,Queens Village (CD13),Annual Average 2018,2018-01-01,6,Good
823563,365,Fine particles (PM 2.5),mcg/m3,CD,413,Queens Village (CD13),Winter 2021-22,2021-12-01,6,Good
742556,365,Fine particles (PM 2.5),mcg/m3,CD,413,Queens Village (CD13),Summer 2021,2021-06-01,7,Good
336884,375,Nitrogen dioxide (NO2),ppb,CD,413,Queens Village (CD13),Summer 2015,2015-06-01,12,Good
643712,375,Nitrogen dioxide (NO2),ppb,CD,413,Queens Village (CD13),Summer 2019,2019-06-01,13,Good
667844,375,Nitrogen dioxide (NO2),ppb,CD,413,Queens Village (CD13),Winter 2019-20,2019-12-01,20,Good
877255,375,Nitrogen dioxide (NO2),ppb,CD,413,Queens Village (CD13),Winter 2022-23,2022-12-01,17,Good
877253,375,Nitrogen dioxide (NO2),ppb,CD,413,Queens Village (CD13),Annual Average 2023,2023-01-01,14,Good
172136,375,Nitrogen dioxide (NO2),ppb,UHF34,105106107,South Bronx,Summer 2010,2010-06-01,22,Good
741091,375,Nitrogen dioxide (NO2),ppb,UHF34,408,Jamaica,Winter 2020-21,2020-12-01,20,Good
650002,365,Fine particles (PM 2.5),mcg/m3,CD,313,Coney Island (CD13),Annual Average 2019,2019-01-01,5,Good
650008,365,Fine particles (PM 2.5),mcg/m3,CD,315,Sheepshead Bay (CD15),Annual Average 2019,2019-01-01,6,Good
176088,375,Nitrogen dioxide (NO2),ppb,UHF42,504,South Beach - Tottenville,Summer 2013,2013-06-01,7,Good
168449,365,Fine particles (PM 2.5),mcg/m3,CD,414,Rockaway and Broad Channel (CD14),Winter 2008-09,2008-12-01,10,Good
649985,365,Fine particles (PM 2.5),mcg/m3,CD,307,Sunset Park (CD7),Summer 2019,2019-06-01,8,Good
178535,365,Fine particles (PM 2.5),mcg/m3,UHF42,204,East New York,Annual Average 2012,2011-12-01,8,Good
178542,365,Fine particles (PM 2.5),mcg/m3,UHF42,211,Williamsburg - Bushwick,Annual Average 2012,2011-12-01,9,Good
178556,365,Fine particles (PM 2.5),mcg/m3,UHF42,404,Bayside - Little Neck,Annual Average 2012,2011-12-01,8,Good
178566,365,Fine particles (PM 2.5),mcg/m3,UHF42,504,South Beach - Tottenville,Annual Average 2012,2011-12-01,8,Good
179786,640,Boiler Emissions- Total SO2 Emissions,number,UHF42,211,Williamsburg - Bushwick,2015,2015-01-01,0,
177233,365,Fine particles (PM 2.5),mcg/m3,UHF42,204,East New York,Winter 2010-11,2010-12-01,11,Good
177779,365,Fine particles (PM 2.5),mcg/m3,UHF42,204,East New York,Summer 2009,2009-06-01,10,Good
177240,365,Fine particles (PM 2.5),mcg/m3,UHF42,211,Williamsburg - Bushwick,Winter 2010-11,2010-12-01,14,Good
177786,365,Fine particles (PM 2.5),mcg/m3,UHF42,211,Williamsburg - Bushwick,Summer 2009,2009-06-01,12,Good
178584,365,Fine particles (PM 2.5),mcg/m3,UHF42,211,Williamsburg - Bushwick,Annual Average 2013,2012-12-01,9,Good
547432,365,Fine particles (PM 2.5),mcg/m3,UHF42,304,Upper West Side,Annual Average 2017,2017-01-01,8,Good
177800,365,Fine particles (PM 2.5),mcg/m3,UHF42,404,Bayside - Little Neck,Summer 2009,2009-06-01,9,Good
178598,365,Fine particles (PM 2.5),mcg/m3,UHF42,404,Bayside - Little Neck,Annual Average 2013,2012-12-01,8,Good
742257,365,Fine particles (PM 2.5),mcg/m3,UHF42,404,Bayside - Little Neck,Annual Average 2021,2021-01-01,6,Good
742378,365,Fine particles (PM 2.5),mcg/m3,UHF34,404406,Bayside Little Neck-Fresh Meadows,Winter 2020-21,2020-12-01,6,Good
173663,365,Fine particles (PM 2.5),mcg/m3,UHF34,404406,Bayside Little Neck-Fresh Meadows,Summer 2010,2010-06-01,11,Good
173697,365,Fine particles (PM 2.5),mcg/m3,UHF34,404406,Bayside Little Neck-Fresh Meadows,Summer 2011,2011-06-01,11,Good
410952,365,Fine particles (PM 2.5),mcg/m3,UHF34,404406,Bayside Little Neck-Fresh Meadows,Summer 2016,2016-06-01,7,Good
410951,365,Fine particles (PM 2.5),mcg/m3,UHF34,404406,Bayside Little Neck-Fresh Meadows,Winter 2015-16,2015-12-01,7,Good
874806,365,Fine particles (PM 2.5),mcg/m3,CD,314,Flatbush and Midwood (CD14),Annual Average 2023,2023-01-01,6,Good
214138,365,Fine particles (PM 2.5),mcg/m3,CD,307,Sunset Park (CD7),Annual Average 2014,2013-12-01,9,Good
334327,365,Fine particles (PM 2.5),mcg/m3,CD,407,Flushing and Whitestone (CD7),Annual Average 2015,2015-01-01,8,Good
213961,365,Fine particles (PM 2.5),mcg/m3,CD,307,Sunset Park (CD7),Summer 2014,2014-06-01,9,Good
649986,365,Fine particles (PM 2.5),mcg/m3,CD,307,Sunset Park (CD7),Winter 2018-19,2018-12-01,8,Good
130428,640,Boiler Emissions- Total SO2 Emissions,number,UHF42,404,Bayside - Little Neck,2013,2013-01-01,1,Good
176718,375,Nitrogen dioxide (NO2),ppb,UHF42,504,South Beach - Tottenville,Annual Average 2013,2012-12-01,11,Good
175374,375,Nitrogen dioxide (NO2),ppb,UHF42,504,South Beach - Tottenville,Winter 2010-11,2010-12-01,20,Good
175920,375,Nitrogen dioxide (NO2),ppb,UHF42,504,South Beach - Tottenville,Summer 2009,2009-06-01,10,Good
177863,365,Fine particles (PM 2.5),mcg/m3,UHF42,204,East New York,Summer 2011,2011-06-01,10,Good
823517,365,Fine particles (PM 2.5),mcg/m3,CD,315,Sheepshead Bay (CD15),Annual Average 2022,2022-01-01,5,Good
606058,365,Fine particles (PM 2.5),mcg/m3,CD,413,Queens Village (CD13),Winter 2017-18,2017-12-01,7,Good
165952,375,Nitrogen dioxide (NO2),ppb,CD,313,Coney Island (CD13),Winter 2011-12,2011-12-01,18,Good
550105,375,Nitrogen dioxide (NO2),ppb,CD,315,Sheepshead Bay (CD15),Summer 2017,2017-06-01,10,Good
172102,375,Nitrogen dioxide (NO2),ppb,UHF34,105106107,South Bronx,Summer 2009,2009-06-01,24,Good
336690,375,Nitrogen dioxide (NO2),ppb,UHF34,408,Jamaica,Winter 2014-15,2014-12-01,23,Good
741093,375,Nitrogen dioxide (NO2),ppb,UHF34,408,Jamaica,Annual Average 2021,2021-01-01,15,Good
741120,375,Nitrogen dioxide (NO2),ppb,UHF34,105106107,South Bronx,Annual Average 2021,2021-01-01,18,Good
650056,365,Fine particles (PM 2.5),mcg/m3,CD,413,Queens Village (CD13),Annual Average 2019,2019-01-01,6,Good
823565,365,Fine particles (PM 2.5),mcg/m3,CD,413,Queens Village (CD13),Annual Average 2022,2022-01-01,5,Good
742315,365,Fine particles (PM 2.5),mcg/m3,UHF34,206,Borough Park,Winter 2020-21,2020-12-01,6,Good
173686,365,Fine particles (PM 2.5),mcg/m3,UHF34,401,Long Island City - Astoria,Summer 2011,2011-06-01,12,Good
742360,365,Fine particles (PM 2.5),mcg/m3,UHF34,408,Jamaica,Winter 2020-21,2020-12-01,6,Good
874805,365,Fine particles (PM 2.5),mcg/m3,CD,313,Coney Island (CD13),Winter 2022-23,2022-12-01,5,Good
669923,365,Fine particles (PM 2.5),mcg/m3,CD,315,Sheepshead Bay (CD15),Winter 2019-20,2019-12-01,6,Good
874811,365,Fine particles (PM 2.5),mcg/m3,CD,315,Sheepshead Bay (CD15),Winter 2022-23,2022-12-01,5,Good
606003,365,Fine particles (PM 2.5),mcg/m3,CD,313,Coney Island (CD13),Summer 2018,2018-06-01,7,Good
547713,365,Fine particles (PM 2.5),mcg/m3,CD,315,Sheepshead Bay (CD15),Summer 2017,2017-06-01,8,Good
742387,365,Fine particles (PM 2.5),mcg/m3,UHF34,105106107,South Bronx,Winter 2020-21,2020-12-01,6,Good
173176,365,Fine particles (PM 2.5),mcg/m3,UHF34,401,Long Island City - Astoria,Winter 2010-11,2010-12-01,13,Good
172739,375,Nitrogen dioxide (NO2),ppb,UHF34,408,Jamaica,Annual Average 2013,2012-12-01,18,Good
741119,375,Nitrogen dioxide (NO2),ppb,UHF34,105106107,South Bronx,Summer 2021,2021-06-01,14,Good
825856,375,Nitrogen dioxide (NO2),ppb,UHF34,105106107,South Bronx,Winter 2021-22,2021-12-01,22,Good
172229,375,Nitrogen dioxide (NO2),ppb,UHF34,408,Jamaica,Summer 2013,2013-06-01,16,Good
410890,365,Fine particles (PM 2.5),mcg/m3,UHF34,206,Borough Park,Annual Average 2016,2015-12-31,7,Good
742316,365,Fine particles (PM 2.5),mcg/m3,UHF34,206,Borough Park,Summer 2021,2021-06-01,8,Good
173720,365,Fine particles (PM 2.5),mcg/m3,UHF34,401,Long Island City - Astoria,Summer 2012,2012-06-01,11,Good
173754,365,Fine particles (PM 2.5),mcg/m3,UHF34,401,Long Island City - Astoria,Summer 2013,2013-06-01,11,Good
602902,375,Nitrogen dioxide (NO2),ppb,UHF34,408,Jamaica,Winter 2017-18,2017-12-01,23,Good
825854,375,Nitrogen dioxide (NO2),ppb,UHF34,105106107,South Bronx,Annual Average 2022,2022-01-01,17,Good
602887,375,Nitrogen dioxide (NO2),ppb,UHF34,401,Long Island City - Astoria,Winter 2017-18,2017-12-01,27,Good
643501,375,Nitrogen dioxide (NO2),ppb,UHF34,401,Long Island City - Astoria,Annual Average 2019,2019-01-01,20,Good
211576,375,Nitrogen dioxide (NO2),ppb,UHF34,408,Jamaica,Winter 2013-14,2013-12-01,26,Good
643516,375,Nitrogen dioxide (NO2),ppb,UHF34,408,Jamaica,Annual Average 2019,2019-01-01,15,Good
825881,375,Nitrogen dioxide (NO2),ppb,UHF34,408,Jamaica,Annual Average 2022,2022-01-01,14,Good
177821,365,Fine particles (PM 2.5),mcg/m3,UHF42,204,East New York,Summer 2010,2010-06-01,11,Good
177870,365,Fine particles (PM 2.5),mcg/m3,UHF42,211,Williamsburg - Bushwick,Summer 2011,2011-06-01,13,Good
410828,365,Fine particles (PM 2.5),mcg/m3,UHF42,404,Bayside - Little Neck,Winter 2015-16,2015-12-01,7,Good
410829,365,Fine particles (PM 2.5),mcg/m3,UHF42,404,Bayside - Little Neck,Summer 2016,2016-06-01,7,Good
742255,365,Fine particles (PM 2.5),mcg/m3,UHF42,404,Bayside - Little Neck,Winter 2020-21,2020-12-01,6,Good
173743,365,Fine particles (PM 2.5),mcg/m3,UHF34,205,Sunset Park,Summer 2013,2013-06-01,10,Good
605813,365,Fine particles (PM 2.5),mcg/m3,UHF34,205,Sunset Park,Annual Average 2018,2018-01-01,7,Good
177852,365,Fine particles (PM 2.5),mcg/m3,UHF42,504,South Beach - Tottenville,Summer 2010,2010-06-01,11,Good
171584,375,Nitrogen dioxide (NO2),ppb,UHF34,409,Southeast Queens,Winter 2008-09,2008-12-01,25,Good
602905,375,Nitrogen dioxide (NO2),ppb,UHF34,409,Southeast Queens,Winter 2017-18,2017-12-01,21,Good
825878,375,Nitrogen dioxide (NO2),ppb,UHF34,409,Southeast Queens,Annual Average 2022,2022-01-01,14,Good
643534,375,Nitrogen dioxide (NO2),ppb,UHF34,404406,Bayside Little Neck-Fresh Meadows,Annual Average 2019,2019-01-01,14,Good
825863,375,Nitrogen dioxide (NO2),ppb,UHF34,404406,Bayside Little Neck-Fresh Meadows,Annual Average 2022,2022-01-01,14,Good
171589,375,Nitrogen dioxide (NO2),ppb,UHF34,404406,Bayside Little Neck-Fresh Meadows,Winter 2008-09,2008-12-01,26,Good
211582,375,Nitrogen dioxide (NO2),ppb,UHF34,404406,Bayside Little Neck-Fresh Meadows,Winter 2013-14,2013-12-01,25,Good
177947,365,Fine particles (PM 2.5),mcg/m3,UHF42,204,East New York,Summer 2013,2013-06-01,9,Good
177912,365,Fine particles (PM 2.5),mcg/m3,UHF42,211,Williamsburg - Bushwick,Summer 2012,2012-06-01,12,Good
177954,365,Fine particles (PM 2.5),mcg/m3,UHF42,211,Williamsburg - Bushwick,Summer 2013,2013-06-01,12,Good
410830,365,Fine particles (PM 2.5),mcg/m3,UHF42,404,Bayside - Little Neck,Annual Average 2016,2015-12-31,6,Good
334155,365,Fine particles (PM 2.5),mcg/m3,UHF34,409,Southeast Queens,Winter 2014-15,2014-12-01,8,Good
173629,365,Fine particles (PM 2.5),mcg/m3,UHF34,404406,Bayside Little Neck-Fresh Meadows,Summer 2009,2009-06-01,9,Good
173187,365,Fine particles (PM 2.5),mcg/m3,UHF34,404406,Bayside Little Neck-Fresh Meadows,Winter 2010-11,2010-12-01,12,Good
174275,365,Fine particles (PM 2.5),mcg/m3,UHF34,404406,Bayside Little Neck-Fresh Meadows,Annual Average 2013,2012-12-01,8,Good
742365,365,Fine particles (PM 2.5),mcg/m3,UHF34,409,Southeast Queens,Annual Average 2021,2021-01-01,6,Good
173182,365,Fine particles (PM 2.5),mcg/m3,UHF34,409,Southeast Queens,Winter 2010-11,2010-12-01,11,Good
174270,365,Fine particles (PM 2.5),mcg/m3,UHF34,409,Southeast Queens,Annual Average 2013,2012-12-01,7,Good
